1660.3 1.314 0.077
1668.1 1.309 0.075
1675.8 1.303 0.072
1683.5 1.295 0.069
1691.2 1.289 0.064
1698.9 1.283 0.058
1706.6 1.279 0.052
1714.4 1.279 0.044
1722.1 1.278 0.037
1729.8 1.279 0.030
1737.5 1.281 0.022
1745.2 1.285 0.018
1752.9 1.288 0.014
1760.7 1.291 0.012
1768.4 1.294 0.010
1776.1 1.297 0.008
1783.8 1.300 0.007
1791.5 1.302 0.006
1799.2 1.304 0.005
1806.9 1.306 0.004
1814.7 1.309 0.004
1822.4 1.310 0.003
1830.1 1.312 0.003
1837.8 1.313 0.002
1845.5 1.315 0.002
1853.2 1.317 0.002
1861.0 1.318 0.002
1868.7 1.320 0.001
1876.4 1.321 0.001
1884.1 1.322 0.001
1891.8 1.324 0.001
1899.5 1.325 0.001
1907.3 1.326 0.001
1915.0 1.327 0.001
1922.7 1.328 0.001
1930.4 1.329 0.001
1938.1 1.330 0.001
1945.8 1.331 0.001
1953.5 1.332 0.001
1961.3 1.333 0.001
1969.0 1.334 0.001
1976.7 1.335 0.001
1984.4 1.336 0.002
1992.1 1.337 0.002
1999.8 1.338 0.002
2007.6 1.339 0.003
2015.3 1.339 0.003
2023.0 1.341 0.004
2030.7 1.341 0.004
2038.4 1.342 0.004
2046.1 1.343 0.004
2053.9 1.344 0.005
2061.6 1.344 0.005
2069.3 1.345 0.006
2077.0 1.345 0.006
2084.7 1.346 0.007
2092.4 1.346 0.007
2100.1 1.347 0.008
2107.9 1.347 0.009
2115.6 1.348 0.010
2123.3 1.348 0.011
2131.0 1.349 0.011
2138.7 1.348 0.012
2146.4 1.348 0.012
2154.2 1.348 0.013
2161.9 1.348 0.014
2169.6 1.348 0.014
2177.3 1.348 0.015
2185.0 1.347 0.015
2192.7 1.346 0.016
2200.5 1.347 0.016
2208.2 1.346 0.015
2215.9 1.345 0.015
2223.6 1.345 0.015
2231.3 1.345 0.014
2239.0 1.344 0.014
2246.7 1.344 0.013
2254.5 1.345 0.013
2262.2 1.345 0.013
2269.9 1.344 0.013
2277.6 1.345 0.012
2285.3 1.345 0.012
2293.0 1.345 0.011
2300.8 1.346 0.011
2308.5 1.346 0.010
2316.2 1.347 0.010
2323.9 1.347 0.010
2331.6 1.347 0.009
2339.3 1.348 0.009
2347.1 1.348 0.008
2354.8 1.349 0.008
2362.5 1.349 0.008
2370.2 1.350 0.007
2377.9 1.350 0.007
2385.6 1.350 0.006
2393.4 1.352 0.006
2401.1 1.352 0.006
2408.8 1.352 0.006
2416.5 1.353 0.006
2424.2 1.354 0.006
2431.9 1.354 0.006
2439.6 1.355 0.006
2447.4 1.356 0.005
2455.1 1.356 0.005
2462.8 1.357 0.005
2470.5 1.358 0.004
2478.2 1.358 0.004
2485.9 1.359 0.004
2493.7 1.360 0.004
2501.4 1.360 0.004
2509.1 1.361 0.004
2516.8 1.362 0.003
2524.5 1.363 0.003
2532.2 1.363 0.003
2540.0 1.364 0.003
2547.7 1.365 0.003
2555.4 1.366 0.003
2563.1 1.367 0.003
2570.8 1.368 0.003
2578.5 1.368 0.003
2586.2 1.369 0.003
2594.0 1.370 0.002
2601.7 1.371 0.002
2609.4 1.372 0.002
2617.1 1.373 0.002
2624.8 1.374 0.002
2632.5 1.375 0.002
2640.3 1.376 0.002
2648.0 1.377 0.002
2655.7 1.378 0.002
2663.4 1.379 0.002
2671.1 1.380 0.002
2678.8 1.381 0.001
2686.6 1.382 0.002
2694.3 1.383 0.001
2702.0 1.384 0.001
2709.7 1.386 0.001
2717.4 1.387 0.001
2725.1 1.388 0.002
2732.8 1.389 0.002
2740.6 1.391 0.002
2748.3 1.392 0.002
2756.0 1.393 0.002
2763.7 1.395 0.002
2771.4 1.396 0.002
2779.1 1.398 0.002
2786.9 1.400 0.002
2794.6 1.401 0.003
2802.3 1.403 0.002
2810.0 1.404 0.002
